"ostim_id","sexlab_id","description"
"FonF_S5","FonF_S5","{actor0} straddles {actor1}, facing sideways, her thick thighs spread wide as she rides cowgirl-style atop her prone partner below. {actor1} grips the base of {actor0}'s girthy shaft with one hand and pumps it confidently, squeezing rhythmically up and down its veiny length."
"FonF_S6","FonF_S6","Squatting in reverse cowgirl, the futanari {actor0} bounces up and down on {actor1}'s cock, feeling a big orgasm about to erupt. At the same time, she strokes herself vigorously, letting out a moan of pleasure."
"FonF_S7","FonF_S7","{actor0} squats above {actor1} while holding her legs in the air, their two of them reaching their climax and together pumping thick loads of hot cum directly onto {actor1}'s chest."
"train_S1","train_S1","{actor1} kneels behind {actor0}, her face pressed between {actor0}'s ass cheeks as she laps at the futanari's dripping cunt with deep strokes of her tongue. Meanwhile, {actor2} sits in front of {actor0}, gently stroking the her cock."
"train_S2","train_S2","{actor0} lies on her back, legs straight as {actor2} rides her hard futanari cock with wild abandon, moaning intensely. While riding, {actor2} grips a hand tightly around {actor1}'s girl-dick as she stands to the side and gives her a handjob."
"train_S3","train_S3","{actor1} kneels before {actor2}, slowly thrusting her she-cock into the girl's tight, wet pussy. {actor0} kneels over {actor2}'s head while facing the other futanari, their tongues eagerly exploring each other's mouths as they lewdly make out. The lucky lady on the bottom lies on her back, sucking {actor0}'s futanari dick while simultaneously being filled by {actor1}."
"train_S4","train_S4","{actor1} stands with one leg raised up by {actor0}, who penetrates her deeply with her futa cock. Kneeling to the side, {actor2} strokes {actor1}'s throbbing cock with soft caresses, edging her towards her climax."
"train_S5","train_S5","{actor1} stands behind {actor0}, gripping her waist tightly as she thrusts into the futanari's pussy from behind. {actor2} kneels before {actor0}, who grabs her head tightly and forces her dick down her throat, roughly face-fucking her."
"train_S6","train_S6","In the middle of the threesome, {actor1} is on her hands and knees, thrusting her girl-dick into {actor2}'s pussy doggy-style from behind while moaning loudly. {actor0} stands behind {actor1}, ramming her own futanari cock deep into her wet cunt with vigorous slapping sounds echoing through the room."
"train_S7","train_S7","{actor1} is on all fours in the middle of the threesome while {actor0}, standing behind her, thrusts her dick deep into {actor1}'s pussy and fills her with her seed. {actor2} lies prone beneath {actor1}, her pussy being flooded by the futanari's girl-cum. The three lie there panting heavily from their intense threesome fuckfest."
